author,name,rank,date
David Guetta Featuring Flo Rida & Nicki Minaj,Where Them Girls At,88,2011
Chris Brown,She Ain't You,89,2011
Rodney Atkins,Take A Back Road,90,2011
Mike Posner,Please Don't Go,91,2011
Miguel,Sure Thing,92,2011
Jessie J Featuring B.o.B,Price Tag,93,2011
Blake Shelton,God Gave Me You,94,2011
Lil Wayne Featuring Drake,She Will,95,2011
Thompson Square,Are You Gonna Kiss Me Or Not,96,2011
Neon Trees,Animal,97,2011
Kenny Chesney Featuring Grace Potter,You And Tequila,98,2011
Zac Brown Band,Colder Weather,99,2011
Big Sean Featuring Chris Brown,My Last,100,2011
Gotye Featuring Kimbra,Somebody That I Used To Know,1,2012
Carly Rae Jepsen,Call Me Maybe,2,2012
fun. Featuring Janelle Monae,We Are Young,3,2012
Maroon 5 Featuring Wiz Khalifa,Payphone,4,2012
Ellie Goulding,Lights,5,2012
The Wanted,Glad You Came,6,2012
Kelly Clarkson,Stronger (What Doesn't Kill You),7,2012
Rihanna Featuring Calvin Harris,We Found Love,8,2012
Nicki Minaj,Starships,9,2012
One Direction,What Makes You Beautiful,10,2012
Flo Rida Featuring Sia,Wild Ones,11,2012
Adele,Set Fire To The Rain,12,2012
LMFAO,Sexy And I Know It,13,2012
fun.,Some Nights,14,2012
Katy Perry,Wide Awake,15,2012
Flo Rida,Good Feeling,16,2012
Flo Rida,Whistle,17,2012
Maroon 5,One More Night,18,2012
Train,Drive By,19,2012
Drake Featuring Lil Wayne,The Motto,20,2012
Rihanna,Where Have You Been,21,2012
Neon Trees,Everybody Talks,22,2012
Drake Featuring Rihanna,Take Care,23,2012
David Guetta Featuring Sia,Titanium,24,2012
Jason Mraz,I Won't Give Up,25,2012
Bruno Mars,It Will Rain,26,2012
"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,27,2012
Justin Bieber,Boyfriend,28,2012
LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,29,2012
Alex Clare,Too Close,30,2012
Katy Perry,Part Of Me,31,2012
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,"Young, Wild & Free",32,2012
Taylor Swift,We Are Never Ever Getting Back Together,33,2012
Justin Bieber Featuring Big Sean,As Long As You Love Me,34,2012
David Guetta Featuring Nicki Minaj,Turn Me On,35,2012
Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,36,2012
P!nk,Blow Me (One Last Kiss),37,2012
Owl City & Carly Rae Jepsen,Good Time,38,2012
Demi Lovato,Give Your Heart A Break,39,2012
Jay Z Kanye West,Ni**as in Paris,40,2012
Katy Perry,The One That Got Away,41,2012
Calvin Harris,Feel So Close,42,2012
Adele,Someone Like You,43,2012
Usher,Scream,44,2012
Tyga,Rack City,45,2012
Jessie J,Domino,46,2012
PSY,Gangnam Style,47,2012
Pitbull Featuring Chris Brown,International Love,48,2012
Phillip Phillips,Home,49,2012
David Guetta Featuring Usher,Without You,50,2012
Gym Class Heroes Featuring Neon Hitch,Ass Back Home,51,2012
Hunter Hayes,Wanted,52,2012
Luke Bryan,Drunk On You,53,2012
2 Chainz Featuring Drake,No Lie,54,2012
Cher Lloyd,Want U Back,55,2012
Chris Brown,Don't Wake Me Up,56,2012
Big Sean Featuring Nicki Minaj,Dance (A$$),57,2012
Eric Church,Springsteen,58,2012
Karmin,Brokenhearted,59,2012
Gavin DeGraw,Not Over You,60,2012
Gym Class Heroes Featuring Adam Levine,Stereo Hearts,61,2012
Pitbull,Back In Time,62,2012
J. Cole,Work Out,63,2012
Adele,Rumour Has It,64,2012
Calvin Harris Featuring Ne-Yo,Let's Go,65,2012
Carrie Underwood,Good Girl,66,2012
Little Big Town,Pontoon,67,2012
The Lumineers,Ho Hey,68,2012
Coldplay,Paradise,69,2012
Carrie Underwood,Blown Away,70,2012
Adele,Rolling In The Deep,71,2012
Usher,Climax,72,2012
Wiz Khalifa,"Work Hard, Play Hard",73,2012
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),74,2012
Nicki Minaj,Pound The Alarm,75,2012
Kenny Chesney,Come Over,76,2012
Trey Songz,Heart Attack,77,2012
Kirko Bangz,Drank In My Cup,78,2012
Rihanna Featuring Chris Brown,Birthday Cake,79,2012
B.o.B,So Good,80,2012
Train,50 Ways To Say Goodbye,81,2012
Toby Keith,Red Solo Cup,82,2012
Selena Gomez & The Scene,Love You Like A Love Song,83,2012
Chris Brown,Turn Up The Music,84,2012
Ke$ha,Die Young,85,2012
T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock,86,2012
Christina Perri,A Thousand Years,87,2012
Jason Aldean,Take A Little Ride,88,2012
Rihanna,You Da One,89,2012
Havana Brown Featuring Pitbull,We Run The Night,90,2012
Imagine Dragons,It's Time,91,2012
Ca$h Out,Cashin' Out,92,2012
Luke Bryan,I Don't Want This Night To End,93,2012
Rihanna,Diamonds,94,2012
Lee Brice,Hard To Love,95,2012
Kip Moore,Somethin' 'Bout A Truck,96,2012
Miguel,Adorn,97,2012
Jason Aldean,Fly Over States,98,2012
Eli Young Band,Even If It Breaks Your Heart,99,2012
Linkin Park,Burn It Down,100,2012
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,1,2013
Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,2,2013
Imagine Dragons,Radioactive,3,2013
Baauer,Harlem Shake,4,2013
Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,5,2013
Justin Timberlake,Mirrors,6,2013
P!nk Featuring Nate Ruess,Just Give Me A Reason,7,2013
Bruno Mars,When I Was Your Man,8,2013
Florida Georgia Line Featuring Nelly,Cruise,9,2013
Katy Perry,Roar,10,2013
Bruno Mars,Locked Out Of Heaven,11,2013
The Lumineers,Ho Hey,12,2013
Rihanna Featuring Mikky Ekko,Stay,13,2013
Daft Punk Featuring Pharrell Williams,Get Lucky,14,2013
Lorde,Royals,15,2013
Taylor Swift,I Knew You Were Trouble.,16,2013
Miley Cyrus,We Can't Stop,17,2013
Miley Cyrus,Wrecking Ball,18,2013
Avicii,Wake Me Up!,19,2013
Justin Timberlake Featuring JAY Z,Suit & Tie,20,2013
Anna Kendrick,Cups (Pitch Perfect's When I'm Gone),21,2013
Jay Z Featuring Justin Timberlake,Holy Grail,22,2013
will.i.am & Britney Spears,Scream & Shout,23,2013
Zedd Featuring Foxes,Clarity,24,2013
AWOLNATION,Sail,25,2013
Swedish House Mafia Featuring John Martin,Don't You Worry Child,26,2013
Rihanna,Diamonds,27,2013
Icona Pop Featuring Charli XCX,I Love It,28,2013
Capital Cities,Safe And Sound,29,2013
Bruno Mars,Treasure,30,2013
Ariana Grande Featuring Mac Miller,The Way,31,2013
Drake,Started From The Bottom,32,2013
Selena Gomez,Come & Get It,33,2013
Drake Featuring Majid Jordan,"Hold On, We're Going Home",34,2013
Maroon 5,Daylight,35,2013
Pitbull Featuring Christina Aguilera,Feel This Moment,36,2013
Lady Gaga,Applause,37,2013
Maroon 5,One More Night,38,2013
Lil Wayne Featuring Drake & Future,Love Me,39,2013
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),40,2013
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",F**kin Problems,41,2013
Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,42,2013
Macklemore & Ryan Lewis Featuring Mary Lambert,Same Love,43,2013
Calvin Harris Featuring Florence Welch,Sweet Nothing,44,2013
Lana Del Rey vs. Cedric Gervais,Summertime Sadness,45,2013
Phillip Phillips,Home,46,2013
Imagine Dragons,It's Time,47,2013
J. Cole Featuring Miguel,Power Trip,48,2013
Alicia Keys Featuring Nicki Minaj,Girl On Fire,49,2013
Demi Lovato,Heart Attack,50,2013
Maroon 5,Love Somebody,51,2013
Mumford & Sons,I Will Wait,52,2013
P!nk,Try,53,2013
Darius Rucker,Wagon Wheel,54,2013
PSY,Gangnam Style,55,2013
Calvin Harris Featuring Ellie Goulding,I Need Your Love,56,2013
Ke$ha,Die Young,57,2013
fun.,Some Nights,58,2013
Wale Featuring Tiara Thomas Or Rihanna,Bad,59,2013
Blake Shelton Featuring Pistol Annies & Friends,Boys 'round Here,60,2013
Phillip Phillips,"Gone, Gone, Gone",61,2013
Imagine Dragons,Demons,62,2013
OneRepublic,Counting Stars,63,2013
Flo Rida,I Cry,64,2013
Of Monsters And Men,Little Talks,65,2013
Jason Derulo,The Other Side,66,2013
Eminem,Berzerk,67,2013
Kelly Clarkson,Catch My Breath,68,2013
Luke Bryan,Crash My Party,69,2013
Rihanna,Pour It Up,70,2013
Taylor Swift,22,71,2013
Hunter Hayes,I Want Crazy,72,2013
Ylvis,The Fox,73,2013
One Direction,Best Song Ever,74,2013
Ed Sheeran,The A Team,75,2013
fun.,Carry On,76,2013
Tim McGraw With Taylor Swift,Highway Don't Care,77,2013
Luke Bryan,That's My Kind Of Night,78,2013
Kendrick Lamar,Swimming Pools (Drank),79,2013
Blake Shelton,Sure Be Cool If You Did,80,2013
Mariah Carey Featuring Miguel,#Beautiful,81,2013
Olly Murs Featuring Flo Rida,Troublemaker,82,2013
Ciara,Body Party,83,2013
Miguel,Adorn,84,2013
The Script Featuring will.i.am,Hall Of Fame,85,2013
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),86,2013
Rocko Featuring Future & Rick Ross,U.O.E.N.O.,87,2013
Emeli Sande,Next To Me,88,2013
Miranda Lambert,Mama's Broken Heart,89,2013
Thomas Rhett,It Goes Like This,90,2013
Ace Hood Featuring Future & Rick Ross,Bugatti,91,2013
Hunter Hayes,Wanted,92,2013
Lady Antebellum,Downtown,93,2013
Florida Georgia Line,Get Your Shine On,94,2013
will.i.am Featuring Justin Bieber,#thatPOWER,95,2013
Sara Bareilles,Brave,96,2013
Passenger,Let Her Go,97,2013
Randy Houser,Runnin' Outta Moonlight,98,2013
2 Chainz,I'm Different,99,2013
Paramore,Still Into You,100,2013
Pharrell Williams,Happy,1,2014
Katy Perry Featuring Juicy J,Dark Horse,2,2014
John Legend,All Of Me,3,2014
Iggy Azalea Featuring Charli XCX,Fancy,4,2014
OneRepublic,Counting Stars,5,2014
Jason Derulo Featuring 2 Chainz,Talk Dirty,6,2014
MAGIC!,Rude,7,2014
Meghan Trainor,All About That Bass,8,2014
Ariana Grande Featuring Iggy Azalea,Problem,9,2014
Sam Smith,Stay With Me,10,2014
Pitbull Featuring Ke$ha,Timber,11,2014
Bastille,Pompeii,12,2014
Taylor Swift,Shake It Off,13,2014
Nico & Vinz,Am I Wrong,14,2014
DJ Snake & Lil Jon,Turn Down For What,15,2014
Eminem Featuring Rihanna,The Monster,16,2014
A Great Big World & Christina Aguilera,Say Something,17,2014
Lorde,Team,18,2014
Passenger,Let Her Go,19,2014
Lorde,Royals,20,2014
Idina Menzel,Let It Go,21,2014
Avicii,Wake Me Up!,22,2014
Imagine Dragons,Demons,23,2014
One Direction,Story Of My Life,24,2014
Sia,Chandelier,25,2014
Iggy Azalea Featuring Rita Ora,Black Widow,26,2014
"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,27,2014
Disclosure Featuring Sam Smith,Latch,28,2014
Maroon 5,Maps,29,2014
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,Loyal,30,2014
American Authors,Best Day Of My Life,31,2014
Tove Lo,Habits (Stay High),32,2014
Calvin Harris,Summer,33,2014
Charli XCX,Boom Clap,34,2014
Beyonce Featuring Jay Z,Drunk In Love,35,2014
Nicki Minaj,Anaconda,36,2014
Ariana Grande Featuring Zedd,Break Free,37,2014
Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,Bailando,38,2014
Ellie Goulding,Burn,39,2014
Jason Derulo Featuring Snoop Dogg,Wiggle,40,2014
Clean Bandit Featuring Jess Glynne,Rather Be,41,2014
Jeremih Featuring YG,Don't Tell 'Em,42,2014
Kid Ink Featuring Chris Brown,Show Me,43,2014
Miley Cyrus,Wrecking Ball,44,2014
Justin Timberlake,Not A Bad Thing,45,2014
Katy Perry,Roar,46,2014
Paramore,Ain't It Fun,47,2014
Aloe Blacc,The Man,48,2014
Florida Georgia Line Featuring Luke Bryan,This Is How We Roll,49,2014
MKTO,Classic,50,2014
Coldplay,A Sky Full Of Stars,51,2014
Ed Sheeran,Don't,52,2014
Trey Songz,Na Na,53,2014
Bobby Shmurda,Hot Boy,54,2014
Drake Featuring Majid Jordan,"Hold On, We're Going Home",55,2014
Ed Sheeran,Sing,56,2014
Imagine Dragons,Radioactive,57,2014
YG Featuring Jeezy & Rich Homie Quan,My Hitta,58,2014
Echosmith,Cool Kids,59,2014
Avicii,Hey Brother,60,2014
Jason Derulo,Trumpets,61,2014
Maroon 5,Animals,62,2014
Jason Aldean,Burnin' It Down,63,2014
Luke Bryan,Play It Again,64,2014
Tinashe Featuring ScHoolboy Q,2 On,65,2014
Florida Georgia Line,Dirt,66,2014
OneRepublic,Love Runs Out,67,2014
Brantley Gilbert,Bottoms Up,68,2014
Becky G,Shower,69,2014
Rixton,Me And My Broken Heart,70,2014
Martin Garrix,Animals,71,2014
Rich Gang Featuring Young Thug & Rich Homie Quan,Lifestyle,72,2014
Kenny Chesney,American Kids,73,2014
Sara Bareilles,Brave,74,2014
The Neighbourhood,Sweater Weather,75,2014
Sam Hunt,Leave The Night On,76,2014
Chris Brown Featuring Usher & Rick Ross,New Flame,77,2014
Michael Jackson & Justin Timberlake,Love Never Felt So Good,78,2014
Dierks Bentley,Drunk On A Plane,79,2014
Katy Perry,Birthday,80,2014
Lady Antebellum,Bartender,81,2014
Naughty Boy Featuring Sam Smith,La La La,82,2014
Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,83,2014
Lady Gaga Featuring R. Kelly,Do What U Want,84,2014
Shakira Featuring Rihanna,Can't Remember To Forget You,85,2014
5 Seconds Of Summer,Amnesia,86,2014
T.I. Featuring Iggy Azalea,No Mediocre,87,2014
KONGOS,Come With Me Now,88,2014
Lil Wayne Featuring Drake,Believe Me,89,2014
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,90,2014
Jake Owen,Beachin',91,2014
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls,92,2014
5 Seconds Of Summer,She Looks So Perfect,93,2014
Zedd Featuring Hayley Williams,Stay The Night,94,2014
Beyonce,Partition,95,2014
ScHoolboy Q Featuring BJ The Chicago Kid,Studio,96,2014
Drake,0 To 100 / The Catch Up,97,2014
Lee Brice,I Don't Dance,98,2014
Miranda Lambert Duet With Carrie Underwood,Somethin' Bad,99,2014
Miley Cyrus,Adore You,100,2014
Mark Ronson Featuring Bruno Mars,Uptown Funk!,1,2015
Ed Sheeran,Thinking Out Loud,2,2015
Wiz Khalifa Featuring Charlie Puth,See You Again,3,2015
Fetty Wap,Trap Queen,4,2015
Maroon 5,Sugar,5,2015
WALK THE MOON,Shut Up And Dance,6,2015
Taylor Swift,Blank Space,7,2015
Silento,Watch Me,8,2015
The Weeknd,Earned It (Fifty Shades Of Grey),9,2015
The Weeknd,The Hills,10,2015
OMI,Cheerleader,11,2015
The Weeknd,Can't Feel My Face,12,2015
Ellie Goulding,Love Me Like You Do,13,2015
Hozier,Take Me To Church,14,2015
Taylor Swift Featuring Kendrick Lamar,Bad Blood,15,2015
Major Lazer & DJ Snake Featuring MO,Lean On,16,2015
Jason Derulo,Want To Want Me,17,2015
Taylor Swift,Shake It Off,18,2015
Skrillex & Diplo With Justin Bieber,Where Are U Now,19,2015
Rachel Platten,Fight Song,20,2015
Fetty Wap Featuring Remy Boyz,679,21,2015
Meghan Trainor,Lips Are Movin,22,2015
Fifth Harmony Featuring Kid Ink,Worth It,23,2015
Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,24,2015
Andy Grammer,"Honey, I'm Good.",25,2015
Sam Smith,I'm Not The Only One,26,2015
Selena Gomez Featuring A$AP Rocky,Good For You,27,2015
Meghan Trainor,All About That Bass,28,2015
Taylor Swift,Style,29,2015
Drake,Hotline Bling,30,2015
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",Hey Mama,31,2015
Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,32,2015
Justin Bieber,What Do You Mean?,33,2015
Ed Sheeran,Photograph,34,2015
Adele,Hello,35,2015
Shawn Mendes,Stitches,36,2015
Tove Lo,Talking Body,37,2015
Nick Jonas,Jealous,38,2015
Pitbull & Ne-Yo,Time Of Our Lives,39,2015
R. City Featuring Adam Levine,Locked Away,40,2015
Natalie La Rose Featuring Jeremih,Somebody,41,2015
Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,42,2015
Fall Out Boy,Centuries,43,2015
Fetty Wap Featuring Monty,My Way,44,2015
Sam Hunt,Take Your Time,45,2015
Maroon 5,Animals,46,2015
Big Sean Featuring E-40,I Don't F**k With You,47,2015
Rihanna,B**** Better Have My Money,48,2015
Rich Homie Quan,Flex (Ooh Ooh Ooh),49,2015
T-Wayne,Nasty Freestyle,50,2015
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only,51,2015
Sia,Elastic Heart,52,2015
Demi Lovato,Cool For The Summer,53,2015
X Ambassadors,Renegades,54,2015
Usher Featuring Juicy J,I Don't Mind,55,2015
Ariana Grande & The Weeknd,Love Me Harder,56,2015
Taylor Swift,Wildest Dreams,57,2015
Sam Smith,Stay With Me,58,2015
DJ Snake & AlunaGeorge,You Know You Like It,59,2015
Fall Out Boy,Uma Thurman,60,2015
Beyonce,7/11,61,2015
Selena Gomez,The Heart Wants What It Wants,62,2015
Little Big Town,Girl Crush,63,2015
Trey Songz,Slow Motion,64,2015
One Direction,Drag Me Down,65,2015
Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter,66,2015
Ariana Grande,One Last Time,67,2015
Nick Jonas,Chains,68,2015
Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You,69,2015
Rae Sremmurd,No Type,70,2015
Vance Joy,Riptide,71,2015
Jidenna Featuring Roman GianArthur,Classic Man,72,2015
Elle King,Ex's & Oh's,73,2015
Meghan Trainor,Dear Future Husband,74,2015
Charlie Puth Featuring Meghan Trainor,Marvin Gaye,75,2015
Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,76,2015
Tove Lo,Habits (Stay High),77,2015
James Newton Howard Featuring Jennifer Lawrence,The Hanging Tree,78,2015
O.T. Genasis,CoCo,79,2015
"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,80,2015
Sam Smith,Lay Me Down,81,2015
I LOVE MAKONNEN Featuring Drake,Tuesday,82,2015
iLoveMemphis,Hit The Quan,83,2015
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,84,2015
Sam Hunt,House Party,85,2015
Chris Brown & Tyga,Ayo,86,2015
Luke Bryan,Kick The Dust Up,87,2015
Big Sean Featuring Drake,Blessings,88,2015
George Ezra,Budapest,89,2015
Sia,Chandelier,90,2015
Kelly Clarkson,Heartbeat Song,91,2015
Ed Sheeran,Don't,92,2015
Ella Henderson,Ghost,93,2015
Alessia Cara,Here,94,2015
Mr. Probz,Waves,95,2015
Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness),96,2015
Ne-Yo Featuring Juicy J,She Knows,97,2015
One Direction,Night Changes,98,2015
Drake,Back To Back,99,2015
Calvin Harris & Disciples,How Deep Is Your Love,100,2015
Justin Bieber,Love Yourself,1,2016
Justin Bieber,Sorry,2,2016
Drake Featuring WizKid & Kyla,One Dance,3,2016
Rihanna Featuring Drake,Work,4,2016
twenty one pilots,Stressed Out,5,2016
Desiigner,Panda,6,2016
Adele,Hello,7,2016
The Chainsmokers Featuring Daya,Don't Let Me Down,8,2016
Justin Timberlake,Can't Stop The Feeling!,9,2016
The Chainsmokers Featuring Halsey,Closer,10,2016
Sia Featuring Sean Paul,Cheap Thrills,11,2016
Lukas Graham,7 Years,12,2016
Rihanna,Needed Me,13,2016
Flo Rida,My House,14,2016
Mike Posner,I Took A Pill In Ibiza,15,2016
Fifth Harmony Featuring Ty Dolla $ign,Work From Home,16,2016
Calvin Harris Featuring Rihanna,This Is What You Came For,17,2016
DNCE,Cake By The Ocean,18,2016
G-Eazy x Bebe Rexha,"Me, Myself & I",19,2016
twenty one pilots,Ride,20,2016
twenty one pilots,Heathens,21,2016
Zayn,Pillowtalk,22,2016
Shawn Mendes,Stitches,23,2016
Drake,Hotline Bling,24,2016
Major Lazer Featuring Justin Bieber & MO,Cold Water,25,2016
Adele,Send My Love (To Your New Lover),26,2016
The Chainsmokers Featuring Rozes,Roses,27,2016
Shawn Mendes,Treat You Better,28,2016
Drake Featuring Rihanna,Too Good,29,2016
Future Featuring The Weeknd,Low Life,30,2016
Justin Bieber,What Do You Mean?,31,2016
The Weeknd,The Hills,32,2016
P!nk,Just Like Fire,33,2016
D.R.A.M. Featuring Lil Yachty,Broccoli,34,2016
Bryson Tiller,Don't,35,2016
Ariana Grande,Dangerous Woman,36,2016
Drake & Future,Jumpman,37,2016
gnash Featuring Olivia O'Brien,I Hate U I Love U,38,2016
Alessia Cara,Here,39,2016
Selena Gomez,Same Old Love,40,2016
Drake,Controlla,41,2016
Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,42,2016
Charlie Puth,One Call Away,43,2016
James Bay,Let It Go,44,2016
Meghan Trainor,No,45,2016
Zara Larsson & MNEK,Never Forget You,46,2016
DJ Snake Featuring Justin Bieber,Let Me Love You,47,2016
Kent Jones,Don't Mind,48,2016
Florida Georgia Line,H.O.L.Y.,49,2016
Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore,50,2016
Ariana Grande,Into You,51,2016
Kiiara,Gold,52,2016
Bryson Tiller,Exchange,53,2016
Fetty Wap Featuring Remy Boyz,679,54,2016
Jeremih,Oui,55,2016
Selena Gomez,Hands To Myself,56,2016
Kevin Gates,2 Phones,57,2016
The Weeknd Featuring Daft Punk,Starboy,58,2016
DJ Khaled Featuring Drake,For Free,59,2016
Flume Featuring Kai,Never Be Like You,60,2016
The Weeknd,In The Night,61,2016
Meghan Trainor,Me Too,62,2016
Elle King,Ex's & Oh's,63,2016
Thomas Rhett,Die A Happy Man,64,2016
Post Malone,White Iverson,65,2016
Nick Jonas Featuring Tove Lo,Close,66,2016
X Ambassadors,Unsteady,67,2016
"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,68,2016
Yo Gotti Featuring Nicki Minaj,Down In The DM,69,2016
Tory Lanez,Luv,70,2016
Beyonce,Sorry,71,2016
The Weeknd,Can't Feel My Face,72,2016
Coldplay,Hymn For The Weekend,73,2016
Tory Lanez,Say It,74,2016
Travis Scott,Antidote,75,2016
Ruth B,Lost Boy,76,2016
Ariana Grande Featuring Nicki Minaj,Side To Side,77,2016
Daya,"Sit Still, Look Pretty",78,2016
Taylor Swift,Wildest Dreams,79,2016
DJ Snake Featuring Bipolar Sunshine,Middle,80,2016
Ellie Goulding,On My Mind,81,2016
Drake Featuring The Throne,Pop Style,82,2016
Adele,When We Were Young,83,2016
Daya,Hide Away,84,2016
Major Lazer & DJ Snake Featuring MO,Lean On,85,2016
Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,86,2016
Silento,Watch Me,88,2016
Chris Brown,Back To Sleep,89,2016
Usher Featuring Young Thug,No Limit,90,2016
O.T. Genasis Featuring Young Dolph,Cut It,91,2016
Kevin Gates,Really Really,92,2016
Fifth Harmony Featuring Fetty Wap,All In My Head (Flex),93,2016
Hailee Steinfeld & Grey Featuring Zedd,Starving,94,2016
Coldplay,Adventure Of A Lifetime,95,2016
Tim McGraw,Humble And Kind,96,2016
Future,Wicked,97,2016
Desiigner,Tiimmy Turner,98,2016
Wiz Khalifa Featuring Charlie Puth,See You Again,99,2016
One Direction,Perfect,100,2016
Ed Sheeran,Shape Of You,1,2017
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2,2017
Bruno Mars,That's What I Like,3,2017
Kendrick Lamar,Humble.,4,2017
The Chainsmokers & Coldplay,Something Just Like This,5,2017
Migos Featuring Lil Uzi Vert,Bad And Boujee,6,2017
The Chainsmokers Featuring Halsey,Closer,7,2017
Sam Hunt,Body Like A Back Road,8,2017
Imagine Dragons,Believer,9,2017
Post Malone Featuring Quavo,Congratulations,10,2017
James Arthur,Say You Won't Let Go,11,2017
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,12,2017
Lil Uzi Vert,XO TOUR Llif3,13,2017
Future,Mask Off,14,2017
French Montana Featuring Swae Lee,Unforgettable,15,2017
Bruno Mars,24K Magic,16,2017
Zedd & Alessia Cara,Stay,17,2017
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,18,2017
Rae Sremmurd Featuring Gucci Mane,Black Beatles,19,2017
The Weeknd Featuring Daft Punk,Starboy,20,2017
Khalid,Location,21,2017
Charlie Puth,Attention,22,2017
Shawn Mendes,There's Nothing Holdin' Me Back,23,2017
Cardi B,Bodak Yellow (Money Moves),24,2017
Childish Gambino,Redbone,25,2017
Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),26,2017
Kygo x Selena Gomez,It Ain't Me,27,2017
KYLE Featuring Lil Yachty,iSpy,28,2017
Julia Michaels,Issues,29,2017
Alessia Cara,Scars To Your Beautiful,30,2017
Logic Featuring Alessia Cara & Khalid,1-800-273-8255,31,2017
Niall Horan,Slow Hands,32,2017
Rihanna,Love On The Brain,33,2017
The Weeknd Featuring Daft Punk,I Feel It Coming,34,2017
Big Sean,Bounce Back,35,2017
Liam Payne Featuring Quavo,Strip That Down,36,2017
Drake,Fake Love,37,2017
Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,38,2017
Taylor Swift,Look What You Made Me Do,39,2017
Ed Sheeran,Castle On The Hill,40,2017
Machine Gun Kelly x Camila Cabello,Bad Things,41,2017
The Chainsmokers,Paris,42,2017
Ariana Grande Featuring Nicki Minaj,Side To Side,43,2017
Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,44,2017
Portugal. The Man,Feel It Still,45,2017
DJ Snake Featuring Justin Bieber,Let Me Love You,46,2017
Demi Lovato,Sorry Not Sorry,47,2017
21 Savage,Bank Account,48,2017
Justin Timberlake,Can't Stop The Feeling!,49,2017
J Balvin & Willy William Featuring Beyonce,Mi Gente,50,2017
Imagine Dragons,Thunder,51,2017
Migos,T-Shirt,52,2017
Yo Gotti Featuring Nicki Minaj,Rake It Up,53,2017
Shawn Mendes,Mercy,54,2017
Kodak Black,Tunnel Vision,55,2017
Post Malone Featuring 21 Savage,Rockstar,56,2017
Brett Young,In Case You Didn't Know,57,2017
twenty one pilots,Heathens,58,2017
Halsey,Now Or Never,59,2017
Amine,Caroline,60,2017
Ayo & Teo,Rolex,61,2017
Kendrick Lamar,DNA.,62,2017
Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),63,2017
Rae Sremmurd,Swang,64,2017
Drake,Passionfruit,65,2017
Kendrick Lamar Featuring Rihanna,Loyalty.,66,2017
Kesha,Praying,67,2017
Travis Scott,Goosebumps,68,2017
Maroon 5 Featuring Future,Cold,69,2017
D.R.A.M. Featuring Lil Yachty,Broccoli,70,2017
Calvin Harris Featuring Frank Ocean & Migos,Slide,71,2017
Kane Brown Featuring Lauren Alaina,What Ifs,72,2017
Katy Perry Featuring Skip Marley,Chained To The Rhythm,73,2017
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,74,2017
Jon Bellion,All Time Low,75,2017
Luke Combs,Hurricane,76,2017
Sam Smith,Too Good At Goodbyes,77,2017
Khalid,Young Dumb & Broke,78,2017
Playboi Carti,Magnolia,79,2017
SZA Featuring Travis Scott,Love Galore,80,2017
